id,url,seo_score,path,code,content_type,indexability,depth,title_len,meta_len,word_count,inlinks,unique_inlinks,match_score,path_to_file,path_to_image,path_to_text,named_entities,disease_category,country,category,search_terms,diseases,x,y,cluster,text_snippets,cluster_keywords,domain,demand,findability,optimization_level,search_volume,topic
1,https://fachportal.roche.de/user.html,7,fachportal_roche_de_user_html.txt,200,html,Indexable,3,7,0,734,0,0,0.935483870967742,fachportal_roche_de__html.txt,image/fachportal_roche_de__html.txt.png,text/fachportal_roche_de__html.txt.txt,[],Other,Germany,Offer outline,,,-38.101135,-3.0381336,0,"The content presents an overview of Roche's specialized portal designed for healthcare professionals, highlighting various therapeutic areas such as neuroscience, oncology, and more. It emphasizes Roche's products, including clinical data and downloadable resources for practitioners. The portal also offers services like newsletters and event information, aimed at keeping professionals updated on the latest research and developments in their respective fields. Overall, the purpose is to provide comprehensive, accessible information and tools for healthcare professionals to enhance their daily practice.","oncology, professionals, data",fachportal.roche.de,Rising,0.706851677472224,high,395,General Offer Outline
2,https://fachportal.roche.de/,8,fachportal_roche_de_.txt,200,html,Indexable,0,15,0,1625,4586,1514,1,fachportal_roche_de_.txt,image/fachportal_roche_de_.txt.png,text/fachportal_roche_de_.txt.txt,[],Other,Germany,Offer outline,,,-36.41366,-5.2351255,0,"The content provides an overview of Roche's specialized portal for healthcare professionals, detailing various therapeutic areas such as neuroscience, oncology, and hematology. It highlights available resources, including product information, clinical data, downloadable materials, and updates on upcoming conferences and educational events. The purpose of the portal is to facilitate access to current research and therapeutic tools for professionals in clinical settings, ensuring they have comprehensive knowledge and support for their practice. Additionally, it encourages registration for enhanced access to exclusive content and services.","oncology, professionals, data",fachportal.roche.de,Flat,0.045345041899772,high,138,General Offer Outline
3,https://fachportal.roche.de/beyond-services/basistexte/.html,1,fachportal_roche_de_beyond_services_basistexte__html.txt,200,html,Non-Indexable,,0,0,2343,44,44,1,fachportal_roche_de_beyond_services_basistexte__html.txt,image/fachportal_roche_de_beyond_services_basistexte__html.txt.png,text/fachportal_roche_de_beyond_services_basistexte__html.txt.txt,"['Avastin', 'Alecensa']",Oncology-Hematology,Germany,Medication information,"Alecensa, Avastin, active ingredients, indications, contraindications, side effects, cancer treatments",,13.16796,-29.166094,1,"The content contains detailed information about two pharmaceutical products, Alecensa and Avastin, developed by Roche. For each product, it outlines the active ingredients, composition, indications for use, and possible contraindications and side effects. The content serves as a professional reference for healthcare providers, emphasizing the therapeutic applications of these medications in specific cancer treatments, along with necessary precautions and regulatory information. There's also a note about the availability of further details upon request.","drug, reporting, adverse",fachportal.roche.de,Flat,0.774166903675593,low,363,Drug Safety
4,https://fachportal.roche.de/beyond-services/basistexte/ALE_ROZ_GAV_PA.html,6,fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_GAV_PA_html.txt,200,html,Indexable,,14,0,1339,0,0,1,fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_GAV_PA_html.txt,image/fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_GAV_PA_html.txt.png,text/fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_GAV_PA_html.txt.txt,['Alecensa'],Oncology-Hematology,Germany,Medication information,"Alecensa, alectinib, non-small cell lung cancer, contraindications, side effects",non-small cell lung cancer,13.172633,-28.20449,1,"The content outlines important information about the pharmaceutical product Alecensa® (alectinib) provided by Roche. It includes details such as its composition, indications for use (specifically for the treatment of non-small cell lung cancer), contraindications, and potential side effects. The content is primarily aimed at healthcare professionals, facilitating access to essential information about the drug's application and safety profile. Additionally, it provides contact information for further inquiries.","drug, reporting, adverse",fachportal.roche.de,Rising,0.725872092312568,medium,154,Drug Safety
5,https://fachportal.roche.de/beyond-services/basistexte/ALE_ROZ_PA.html,6,fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_PA_html.txt,200,html,Indexable,,10,0,1339,0,0,1,fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_PA_html.txt,image/fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_PA_html.txt.png,text/fachportal_roche_de_beyond_services_basistexte_ALE_ROZ_PA_html.txt.txt,"['Rozlytrek', 'Alecensa']",Oncology-Hematology,Germany,Medication information,"Alecensa, Rozlytrek, active ingredients, administration methods, indications for use, contraindications, side effects",,3.4087539,-33.41976,1,"The content features information about two pharmaceutical products from Roche, Alecensa® and Rozlytrek®. It includes details such as active ingredients, administration methods, indications for use, contraindications, side effects, and additional notes pertinent to healthcare professionals. This content serves as a resource for medical professionals to understand the therapeutic applications and safety information of these medications, supporting informed decision-making in clinical settings.","drug, reporting, adverse",fachportal.roche.de,Falling,0.394568432822284,medium,109,Drug Safety
6,https://fachportal.roche.de/beyond-services/basistexte/ALE_TEC_ROZ_PA.html,6,fachportal_roche_de_beyond_services_basistexte_ALE_TEC_ROZ_PA_html.txt,200,html,Indexable,,14,0,2002,0,0,1,fachportal_roche_de_beyond_services_basistexte_ALE_TEC_ROZ_PA_html.txt,image/fachportal_roche_de_beyond_services_basistexte_ALE_TEC_ROZ_PA_html.txt.png,text/fachportal_roche_de_beyond_services_basistexte_ALE_TEC_ROZ_PA_html.txt.txt,"['Rozlytrek', 'Alecensa']",Oncology-Hematology,Germany,Medication information,"Alecensa, Rozlytrek, active ingredients, side effects, contraindications",,12.204845,-28.88612,1,"The content provides detailed information about Roche's pharmaceutical products, specifically ""Alecensa"" and ""Rozlytrek."" It includes their active ingredients, usage indications, potential side effects, and contraindications. The content is aimed at healthcare professionals, offering insights into the therapeutic applications of these medications for certain cancer types, while also advising on monitoring for adverse effects. Overall, it serves as a resource for professionals to understand the safety and efficacy of these treatments.","drug, reporting, adverse",fachportal.roche.de,Flat,0.0769514846950399,medium,126,Drug Safety
7,https://fachportal.roche.de/beyond-services/basistexte/Alecensa_PA.html,6,fachportal_roche_de_beyond_services_basistexte_Alecensa_PA_html.txt,200,html,Indexable,,11,0,931,0,0,1,fachportal_roche_de_beyond_services_basistexte_Alecensa_PA_html.txt,image/fachportal_roche_de_beyond_services_basistexte_Alecensa_PA_html.txt.png,text/fachportal_roche_de_beyond_services_basistexte_Alecensa_PA_html.txt.txt,"['Alecenna', 'NSCLC']",Oncology-Hematology,Germany,Medication information,"Alecenna, active ingredient, non-small cell lung cancer (NSCLC), side effects, contraindications",non-small cell lung cancer,19.70618,-27.59868,1,"The content of the content features information about a pharmaceutical product, Alecenna, including its active ingredient, uses, dosage, and side effects. It provides technical details aimed at healthcare professionals, emphasizing its application in the treatment of specific types of cancer, particularly non-small cell lung cancer (NSCLC). The content also outlines potential side effects and contraindications associated with the medication, making this a specialized resource for medical professionals.","drug, reporting, adverse",fachportal.roche.de,Rising,0.646867559313824,medium,15,Drug Safety
8,https://fachportal.roche.de/beyond-services/basistexte/Avastin_PA.html,6,fachportal_roche_de_beyond_services_basistexte_Avastin_PA_html.txt,200,html,Indexable,,10,0,1213,0,0,1,fachportal_roche_de_beyond_services_basistexte_Avastin_PA_html.txt,image/fachportal_roche_de_beyond_services_basistexte_Avastin_PA_html.txt.png,text/fachportal_roche_de_beyond_services_basistexte_Avastin_PA_html.txt.txt,['Avastin'],Oncology-Hematology,Germany,Medication information,"Avastin, bevacizumab, chemotherapy, metastatic breast cancer, colorectal cancer, potential side effects, adverse reactions","metastatic breast cancer, metastatic colorectal cancer",20.421219,-27.699934,1,"The content presents information about the pharmaceutical product Avastin (bevacizumab), detailing its composition, indications, application methods, and potential side effects. It discusses the use of Avastin in combination with chemotherapy for various cancer treatments, including metastatic breast and colorectal cancers. It also lists possible adverse reactions, emphasizing the importance of this information for healthcare professionals utilizing the drug in clinical settings. The overall purpose of the content is to provide comprehensive product details for medical professionals.","drug, reporting, adverse",fachportal.roche.de,Falling,0.863208107485687,medium,442,Drug Safety
9,https://fachportal.roche.de/beyond-services/basistexte/COL_POL_PA.html,6,fachportal_roche_de_beyond_services_basistexte_COL_POL_PA_html.txt,200,html,Indexable,,10,0,1235,0,0,1,fachportal_roche_de_beyond_services_basistexte_COL_POL_PA_html.txt,image/fachportal_roche_de_beyond_services_basistexte_COL_POL_PA_html.txt.png,text/fachportal_roche_de_beyond_services_basistexte_COL_POL_PA_html.txt.txt,"['Polivy', 'Columvi']",Oncology-Hematology,Germany,Medication information,"Columvi, Polivy, active ingredients, side effects, warnings",,16.408585,-38.83005,1,"The content provides detailed information about two pharmaceutical products, Columvi and Polivy, including their active ingredients, formulations, indications for use, side effects, and warnings. It is targeted toward healthcare professionals and emphasizes the importance of reporting any adverse effects. The content also includes contact information for reporting and additional inquiries, indicating a focus on safety and compliance in the medical context.","drug, reporting, adverse",fachportal.roche.de,Falling,0.144853039409753,medium,381,Drug Safety
10,https://fachportal.roche.de/beyond-services/basistexte/Columvi_PA.html,6,fachportal_roche_de_beyond_services_basistexte_Columvi_PA_html.txt,200,html,Indexable,,10,0,975,0,0,1,fachportal_roche_de_beyond_services_basistexte_Columvi_PA_html.txt,image/fachportal_roche_de_beyond_services_basistexte_Columvi_PA_html.txt.png,text/fachportal_roche_de_beyond_services_basistexte_Columvi_PA_html.txt.txt,"['Columi', 'Glofitamab']",Oncology-Hematology,Germany,Medication information,"Glofitamab, Columi, dosage forms, indications for use, side effects",,11.8596525,-37.216976,1,"The content features information about Columi, a pharmaceutical product developed by Roche. It includes details on its composition, active ingredient (Glofitamab), dosage forms, indications for use, and potential side effects. The content emphasizes the need for monitoring and reporting any adverse effects, providing contact information for healthcare professionals to report issues. The content serves as a resource for medical professionals regarding the safe and effective use of this treatment.","drug, reporting, adverse",fachportal.roche.de,Falling,0.824516027772779,medium,219,Drug Safety
